reading_id,sensor_id,location,timestamp,temperature_celsius,humidity_percent,pressure_hpa,battery_level,signal_strength
READ_00000078,SENSOR_043,Building_A,2024-09-01T06:30:00,17.71,30.39,1010.57,85,-86
READ_00000079,SENSOR_018,Building_B,2024-09-01T06:35:00,22.89,1.63,1010.63,39,-73
READ_00000080,SENSOR_049,Office_Floor_2,2024-09-01T06:40:00,24.49,53.4,1007.34,76,-33
READ_00000081,SENSOR_040,Office_Floor_2,2024-09-01T06:45:00,21.6,25.63,1008.47,37,-63
READ_00000082,SENSOR_020,Building_A,2024-09-01T06:50:00,25.01,44.35,1012.9,20,-57
READ_00000083,SENSOR_041,Office_Floor_2,2024-09-01T06:55:00,21.57,50.79,1021.26,51,-35
READ_00000084,SENSOR_043,Building_B,2024-09-01T07:00:00,23.33,47.25,1009.08,47,-69
READ_00000085,SENSOR_026,Warehouse_2,2024-09-01T07:05:00,21.38,38.7,1024.59,44,-32
READ_00000086,SENSOR_030,Office_Floor_1,2024-09-01T07:10:00,19.02,34.58,1021.23,47,-51
READ_00000087,SENSOR_047,Warehouse_1,2024-09-01T07:15:00,23.92,41.01,1007.66,68,-83
READ_00000088,SENSOR_035,Building_B,2024-09-01T07:20:00,27.2,60.56,1015.54,30,-61
READ_00000089,SENSOR_044,Building_A,2024-09-01T07:25:00,21.3,48.61,1007.05,61,-34
READ_00000090,SENSOR_018,Office_Floor_2,2024-09-01T07:30:00,23.88,46.59,1020.74,100,-87
READ_00000091,SENSOR_034,Building_B,2024-09-01T07:35:00,24.0,30.71,1010.99,56,-88
READ_00000092,SENSOR_006,Building_B,2024-09-01T07:40:00,15.99,59.25,1015.04,30,-47
READ_00000093,SENSOR_007,Office_Floor_1,2024-09-01T07:45:00,21.64,24.6,1011.0,35,-49
READ_00000094,SENSOR_044,Building_A,2024-09-01T07:50:00,26.99,56.73,1010.2,97,-79
READ_00000095,SENSOR_042,Warehouse_1,2024-09-01T07:55:00,19.48,48.19,1006.65,36,-89
READ_00000096,SENSOR_049,Office_Floor_1,2024-09-01T08:00:00,20.09,45.16,1005.93,33,-63
READ_00000097,SENSOR_050,Building_A,2024-09-01T08:05:00,21.17,54.88,1018.14,65,-66
READ_00000098,SENSOR_008,Office_Floor_2,2024-09-01T08:10:00,22.78,54.03,1009.11,75,-85
READ_00000099,SENSOR_007,Building_A,2024-09-01T08:15:00,16.34,41.35,1018.9,39,-39
READ_00000100,SENSOR_046,Office_Floor_2,2024-09-01T08:20:00,24.09,62.0,1009.26,33,-67
READ_00000101,SENSOR_045,Office_Floor_1,2024-09-01T08:25:00,16.13,53.73,1011.49,43,-85
READ_00000102,SENSOR_034,Warehouse_2,2024-09-01T08:30:00,27.07,48.49,1008.47,69,-51
READ_00000103,SENSOR_001,Warehouse_1,2024-09-01T08:35:00,25.58,55.12,1016.68,20,-58
READ_00000104,SENSOR_049,Warehouse_1,2024-09-01T08:40:00,22.87,54.54,1015.52,55,-45
READ_00000105,SENSOR_017,Office_Floor_2,2024-09-01T08:45:00,19.94,23.47,1015.77,32,-49
READ_00000106,SENSOR_013,Warehouse_1,2024-09-01T08:50:00,25.96,47.97,1016.82,22,-60
READ_00000107,SENSOR_002,Office_Floor_2,2024-09-01T08:55:00,24.59,54.33,1020.71,64,-78
READ_00000108,SENSOR_048,Building_B,2024-09-01T09:00:00,24.01,23.53,1014.42,89,-34
READ_00000109,SENSOR_049,Building_A,2024-09-01T09:05:00,22.6,45.73,1020.46,80,-53
READ_00000110,SENSOR_027,Building_A,2024-09-01T09:10:00,25.28,45.45,1012.49,46,-57
READ_00000111,SENSOR_020,Office_Floor_2,2024-09-01T09:15:00,21.44,39.08,1013.02,75,-83
READ_00000112,SENSOR_005,Building_A,2024-09-01T09:20:00,19.88,49.76,1015.22,64,-63
READ_00000113,SENSOR_025,Office_Floor_1,2024-09-01T09:25:00,13.43,53.82,1015.37,31,-73
READ_00000114,SENSOR_024,Office_Floor_2,2024-09-01T09:30:00,23.68,43.13,1011.69,32,-40
READ_00000115,SENSOR_005,Building_A,2024-09-01T09:35:00,18.11,45.22,1013.92,74,-54
READ_00000116,SENSOR_029,Warehouse_2,2024-09-01T09:40:00,20.63,28.66,1017.91,20,-62
READ_00000117,SENSOR_038,Building_B,2024-09-01T09:45:00,24.36,48.6,1010.22,21,-78
READ_00000118,SENSOR_024,Building_A,2024-09-01T09:50:00,20.79,50.06,1020.11,31,-62
READ_00000119,SENSOR_004,Building_A,2024-09-01T09:55:00,22.57,33.76,1016.98,24,-61
READ_00000120,SENSOR_050,Office_Floor_1,2024-09-01T10:00:00,26.97,41.41,1010.82,75,-90
READ_00000121,SENSOR_029,Office_Floor_1,2024-09-01T10:05:00,18.79,31.91,1011.69,64,-46
READ_00000122,SENSOR_024,Building_A,2024-09-01T10:10:00,21.46,49.6,1014.9,39,-34
READ_00000123,SENSOR_026,Building_A,2024-09-01T10:15:00,23.97,39.52,1023.01,54,-33
READ_00000124,SENSOR_011,Warehouse_1,2024-09-01T10:20:00,18.53,40.82,1016.65,94,-63
READ_00000125,SENSOR_012,Warehouse_2,2024-09-01T10:25:00,17.64,42.32,1016.57,76,-58
READ_00000126,SENSOR_011,Office_Floor_1,2024-09-01T10:30:00,20.39,27.5,1012.58,36,-84
READ_00000127,SENSOR_040,Warehouse_1,2024-09-01T10:35:00,18.63,59.77,1012.43,34,-76
READ_00000128,SENSOR_004,Warehouse_1,2024-09-01T10:40:00,21.57,26.69,1009.03,96,-87
READ_00000129,SENSOR_013,Warehouse_1,2024-09-01T10:45:00,24.19,28.45,1008.33,38,-90
READ_00000130,SENSOR_046,Building_A,2024-09-01T10:50:00,22.91,42.64,1005.01,66,-70
READ_00000131,SENSOR_016,Building_A,2024-09-01T10:55:00,17.99,21.85,1007.19,25,-42
READ_00000132,SENSOR_030,Warehouse_2,2024-09-01T11:00:00,17.62,54.18,1017.17,24,-78
READ_00000133,SENSOR_019,Warehouse_2,2024-09-01T11:05:00,24.89,52.08,1006.2,99,-38
READ_00000134,SENSOR_040,Office_Floor_2,2024-09-01T11:10:00,21.1,36.56,1015.58,74,-60
READ_00000135,SENSOR_019,Office_Floor_1,2024-09-01T11:15:00,23.48,49.57,1013.28,28,-85
READ_00000136,SENSOR_008,Office_Floor_1,2024-09-01T11:20:00,16.4,46.34,1010.63,52,-31
READ_00000137,SENSOR_032,Warehouse_1,2024-09-01T11:25:00,23.97,57.78,1018.6,37,-43
READ_00000138,SENSOR_038,Building_A,2024-09-01T11:30:00,21.3,38.7,1006.04,84,-76
READ_00000139,SENSOR_034,Building_B,2024-09-01T11:35:00,17.85,45.09,1016.05,71,-82
READ_00000140,SENSOR_050,Warehouse_2,2024-09-01T11:40:00,24.95,36.55,1018.23,98,-83
READ_00000141,SENSOR_047,Office_Floor_2,2024-09-01T11:45:00,25.63,55.25,1011.24,63,-85
READ_00000142,SENSOR_020,Warehouse_2,2024-09-01T11:50:00,19.06,50.27,1004.64,21,-37
READ_00000143,SENSOR_011,Warehouse_1,2024-09-01T11:55:00,18.68,27.57,1023.38,75,-64
READ_00000144,SENSOR_014,Building_A,2024-09-01T12:00:00,21.61,37.71,1012.57,95,-48
READ_00000145,SENSOR_009,Warehouse_1,2024-09-01T12:05:00,22.04,55.78,1016.42,64,-32
READ_00000146,SENSOR_016,Warehouse_2,2024-09-01T12:10:00,21.52,40.34,1016.96,22,-52
READ_00000147,SENSOR_036,Office_Floor_2,2024-09-01T12:15:00,20.78,41.28,1010.56,54,-90
READ_00000148,SENSOR_005,Warehouse_1,2024-09-01T12:20:00,17.72,47.95,1011.18,65,-49
READ_00000149,SENSOR_003,Office_Floor_1,2024-09-01T12:25:00,23.54,39.8,1016.11,28,-85
READ_00000150,SENSOR_003,Building_B,2024-09-01T12:30:00,20.74,57.2,1018.6,82,-83
READ_00000151,SENSOR_031,Warehouse_2,2024-09-01T12:35:00,22.54,43.07,1013.85,84,-87
READ_00000152,SENSOR_034,Office_Floor_2,2024-09-01T12:40:00,21.11,44.14,1015.73,24,-43
READ_00000153,SENSOR_035,Office_Floor_1,2024-09-01T12:45:00,27.78,47.93,1011.29,36,-88
READ_00000154,SENSOR_026,Building_A,2024-09-01T12:50:00,17.73,46.86,1013.77,80,-62
READ_00000155,SENSOR_050,Office_Floor_1,2024-09-01T12:55:00,23.25,53.45,1009.69,65,-48
READ_00000156,SENSOR_009,Building_B,2024-09-01T13:00:00,24.09,49.23,1013.63,84,-66
READ_00000157,SENSOR_026,Office_Floor_2,2024-09-01T13:05:00,22.75,58.13,1017.8,83,-65
READ_00000158,SENSOR_050,Office_Floor_2,2024-09-01T13:10:00,20.69,18.25,1010.41,94,-65
READ_00000159,SENSOR_009,Building_B,2024-09-01T13:15:00,22.09,41.2,1010.67,65,-59
READ_00000160,SENSOR_005,Building_B,2024-09-01T13:20:00,23.81,32.49,1013.9,46,-41
READ_00000161,SENSOR_041,Building_B,2024-09-01T13:25:00,25.6,46.06,1016.32,52,-58
READ_00000162,SENSOR_044,Office_Floor_2,2024-09-01T13:30:00,22.28,45.48,1021.18,44,-57
READ_00000163,SENSOR_029,Office_Floor_1,2024-09-01T13:35:00,20.5,40.91,1007.37,29,-75
READ_00000164,SENSOR_008,Building_A,2024-09-01T13:40:00,22.16,46.57,1006.29,86,-35
READ_00000165,SENSOR_048,Warehouse_1,2024-09-01T13:45:00,21.32,37.97,1015.94,46,-58
READ_00000166,SENSOR_050,Building_B,2024-09-01T13:50:00,21.66,43.93,1012.94,94,-83
READ_00000167,SENSOR_017,Office_Floor_2,2024-09-01T13:55:00,15.72,53.52,1014.27,47,-90
READ_00000168,SENSOR_013,Office_Floor_2,2024-09-01T14:00:00,22.23,53.27,1005.52,80,-73
READ_00000169,SENSOR_050,Building_B,2024-09-01T14:05:00,22.41,40.28,1014.44,71,-61
READ_00000170,SENSOR_020,Office_Floor_1,2024-09-01T14:10:00,27.78,31.16,1020.87,91,-85
READ_00000171,SENSOR_023,Office_Floor_2,2024-09-01T14:15:00,22.77,46.21,1018.11,89,-84
READ_00000172,SENSOR_002,Warehouse_1,2024-09-01T14:20:00,19.45,38.79,1012.72,94,-58
READ_00000173,SENSOR_008,Office_Floor_1,2024-09-01T14:25:00,25.34,56.22,1011.44,87,-44
READ_00000174,SENSOR_019,Building_B,2024-09-01T14:30:00,24.76,40.74,1007.99,38,-32
READ_00000175,SENSOR_020,Warehouse_2,2024-09-01T14:35:00,19.64,27.34,1011.88,50,-71
READ_00000176,SENSOR_031,Office_Floor_1,2024-09-01T14:40:00,25.77,44.28,1011.16,40,-48
READ_00000177,SENSOR_008,Office_Floor_1,2024-09-01T14:45:00,19.28,40.77,1010.95,61,-54
READ_00000178,SENSOR_050,Building_A,2024-09-01T14:50:00,23.77,44.36,1010.41,26,-55
READ_00000179,SENSOR_017,Warehouse_2,2024-09-01T14:55:00,25.18,44.09,1024.96,76,-32
READ_00000180,SENSOR_037,Office_Floor_2,2024-09-01T15:00:00,23.12,41.99,1019.76,43,-49
READ_00000181,SENSOR_049,Office_Floor_1,2024-09-01T15:05:00,24.7,45.38,1008.91,50,-35
READ_00000182,SENSOR_043,Building_B,2024-09-01T15:10:00,25.09,43.64,1020.92,44,-46
READ_00000183,SENSOR_021,Office_Floor_1,2024-09-01T15:15:00,23.42,47.65,1007.6,93,-59
READ_00000184,SENSOR_017,Building_B,2024-09-01T15:20:00,25.67,60.49,1014.48,23,-81
READ_00000185,SENSOR_011,Warehouse_2,2024-09-01T15:25:00,23.04,60.44,1020.22,97,-43
READ_00000186,SENSOR_007,Building_A,2024-09-01T15:30:00,22.44,43.22,1019.02,81,-45
READ_00000187,SENSOR_026,Office_Floor_2,2024-09-01T15:35:00,26.09,39.25,1008.27,27,-44
READ_00000188,SENSOR_014,Building_A,2024-09-01T15:40:00,21.96,38.17,1023.49,71,-60
READ_00000189,SENSOR_012,Building_B,2024-09-01T15:45:00,24.24,35.07,1005.5,74,-43
READ_00000190,SENSOR_023,Building_B,2024-09-01T15:50:00,18.32,52.79,1013.17,39,-74
READ_00000191,SENSOR_033,Office_Floor_2,2024-09-01T15:55:00,28.22,42.76,1012.7,99,-88
READ_00000192,SENSOR_016,Building_B,2024-09-01T16:00:00,23.46,36.67,1016.12,77,-73
READ_00000193,SENSOR_020,Building_B,2024-09-01T16:05:00,25.48,56.49,1012.07,70,-83
READ_00000194,SENSOR_005,Office_Floor_2,2024-09-01T16:10:00,22.28,46.16,1012.07,70,-84
READ_00000195,SENSOR_044,Office_Floor_2,2024-09-01T16:15:00,18.76,43.96,1017.14,66,-71
READ_00000196,SENSOR_050,Office_Floor_2,2024-09-01T16:20:00,24.34,48.17,1016.2,21,-77
READ_00000197,SENSOR_022,Building_B,2024-09-01T16:25:00,26.32,40.12,1012.24,42,-60
READ_00000198,SENSOR_047,Building_A,2024-09-01T16:30:00,26.65,58.14,1006.1,33,-61
READ_00000199,SENSOR_010,Warehouse_2,2024-09-01T16:35:00,17.74,65.02,1020.37,83,-72
READ_00000200,SENSOR_048,Building_A,2024-09-01T16:40:00,25.31,54.62,1013.8,61,-84
READ_00000201,SENSOR_016,Office_Floor_2,2024-09-01T16:45:00,20.57,36.19,1010.71,30,-68
READ_00000202,SENSOR_017,Office_Floor_1,2024-09-01T16:50:00,25.17,38.61,1009.87,39,-64
READ_00000203,SENSOR_020,Building_A,2024-09-01T16:55:00,24.94,32.4,1017.11,82,-48
READ_00000204,SENSOR_020,Warehouse_2,2024-09-01T17:00:00,23.61,49.65,1009.74,99,-81
READ_00000205,SENSOR_028,Warehouse_2,2024-09-01T17:05:00,21.16,55.48,1014.77,100,-75
READ_00000206,SENSOR_008,Office_Floor_1,2024-09-01T17:10:00,23.29,55.29,1023.36,78,-54
READ_00000207,SENSOR_005,Warehouse_2,2024-09-01T17:15:00,23.33,46.43,1012.17,51,-69
READ_00000208,SENSOR_017,Office_Floor_1,2024-09-01T17:20:00,19.97,33.34,1012.99,39,-61
READ_00000209,SENSOR_049,Building_A,2024-09-01T17:25:00,24.47,54.04,1014.41,57,-76
READ_00000210,SENSOR_025,Building_A,2024-09-01T17:30:00,19.99,34.61,1014.13,21,-63
READ_00000211,SENSOR_006,Building_B,2024-09-01T17:35:00,20.14,30.76,1004.72,33,-40
READ_00000212,SENSOR_008,Office_Floor_2,2024-09-01T17:40:00,26.33,34.57,1013.47,79,-75
READ_00000213,SENSOR_003,Building_B,2024-09-01T17:45:00,18.21,49.52,1011.72,99,-69
READ_00000214,SENSOR_028,Office_Floor_1,2024-09-01T17:50:00,19.53,38.65,1009.48,52,-62
READ_00000215,SENSOR_012,Building_A,2024-09-01T17:55:00,20.13,56.51,1020.34,57,-68
READ_00000216,SENSOR_009,Warehouse_2,2024-09-01T18:00:00,25.32,40.66,1013.94,43,-77
READ_00000217,SENSOR_004,Warehouse_2,2024-09-01T18:05:00,16.37,40.35,1004.83,36,-81
READ_00000218,SENSOR_020,Building_B,2024-09-01T18:10:00,20.21,47.64,1014.24,31,-63
READ_00000219,SENSOR_007,Building_A,2024-09-01T18:15:00,24.87,61.02,1017.19,29,-59
READ_00000220,SENSOR_049,Building_A,2024-09-01T18:20:00,16.81,51.69,1013.46,52,-41
READ_00000221,SENSOR_036,Building_B,2024-09-01T18:25:00,18.91,45.53,1006.61,88,-52
READ_00000222,SENSOR_036,Warehouse_2,2024-09-01T18:30:00,21.77,47.59,1016.15,33,-48
READ_00000223,SENSOR_020,Building_A,2024-09-01T18:35:00,17.8,59.75,1015.07,80,-83
READ_00000224,SENSOR_029,Building_B,2024-09-01T18:40:00,27.54,50.32,1015.49,23,-39
READ_00000225,SENSOR_009,Office_Floor_2,2024-09-01T18:45:00,27.15,48.87,1016.45,97,-40
READ_00000226,SENSOR_046,Office_Floor_2,2024-09-01T18:50:00,23.48,57.07,1009.79,52,-72
READ_00000227,SENSOR_009,Warehouse_1,2024-09-01T18:55:00,24.98,45.91,1001.68,34,-79
READ_00000228,SENSOR_039,Building_B,2024-09-01T19:00:00,23.13,55.24,1009.26,55,-89
READ_00000229,SENSOR_019,Warehouse_2,2024-09-01T19:05:00,20.65,42.14,1016.56,40,-87
READ_00000230,SENSOR_013,Office_Floor_1,2024-09-01T19:10:00,23.2,38.04,1014.99,61,-61
READ_00000231,SENSOR_003,Warehouse_1,2024-09-01T19:15:00,19.68,47.66,1014.93,66,-87
READ_00000232,SENSOR_026,Office_Floor_2,2024-09-01T19:20:00,21.06,33.67,1003.97,95,-64
READ_00000233,SENSOR_001,Warehouse_2,2024-09-01T19:25:00,23.04,40.97,1006.73,96,-55
READ_00000234,SENSOR_037,Warehouse_2,2024-09-01T19:30:00,17.55,45.1,1009.72,51,-59
READ_00000235,SENSOR_009,Building_A,2024-09-01T19:35:00,20.22,24.98,1009.47,29,-39
READ_00000236,SENSOR_038,Warehouse_2,2024-09-01T19:40:00,23.46,48.96,1016.18,85,-53
READ_00000237,SENSOR_013,Warehouse_1,2024-09-01T19:45:00,26.11,46.34,1011.8,21,-32
READ_00000238,SENSOR_005,Building_A,2024-09-01T19:50:00,18.46,45.29,1006.91,46,-60
READ_00000239,SENSOR_019,Building_A,2024-09-01T19:55:00,22.7,24.74,1006.0,62,-51
READ_00000240,SENSOR_016,Building_A,2024-09-01T20:00:00,25.55,46.96,1015.43,76,-44
READ_00000241,SENSOR_040,Office_Floor_2,2024-09-01T20:05:00,20.25,40.53,1014.99,58,-60
READ_00000242,SENSOR_022,Warehouse_1,2024-09-01T20:10:00,22.61,25.03,1006.94,63,-52
READ_00000243,SENSOR_006,Building_A,2024-09-01T20:15:00,26.04,44.16,1016.97,34,-57
READ_00000244,SENSOR_013,Building_A,2024-09-01T20:20:00,22.49,45.22,1012.83,22,-84
READ_00000245,SENSOR_048,Building_B,2024-09-01T20:25:00,23.25,54.24,1000.98,53,-44
READ_00000246,SENSOR_006,Warehouse_1,2024-09-01T20:30:00,23.09,55.19,1018.0,39,-85
READ_00000247,SENSOR_021,Office_Floor_1,2024-09-01T20:35:00,23.84,26.41,1016.11,49,-55
READ_00000248,SENSOR_047,Building_A,2024-09-01T20:40:00,19.46,61.56,1014.63,65,-55
READ_00000249,SENSOR_031,Building_B,2024-09-01T20:45:00,19.09,49.22,1003.85,78,-34
READ_00000250,SENSOR_043,Building_B,2024-09-01T20:50:00,25.2,57.82,1008.96,90,-80
READ_00000251,SENSOR_019,Warehouse_1,2024-09-01T20:55:00,26.2,43.7,1006.9,82,-89
READ_00000252,SENSOR_003,Office_Floor_1,2024-09-01T21:00:00,24.56,44.46,1021.69,59,-74
READ_00000253,SENSOR_048,Warehouse_2,2024-09-01T21:05:00,21.8,54.33,1006.1,91,-80
READ_00000254,SENSOR_025,Building_B,2024-09-01T21:10:00,23.24,48.37,1017.08,49,-85
READ_00000255,SENSOR_003,Warehouse_2,2024-09-01T21:15:00,21.68,42.87,1016.21,66,-65
READ_00000256,SENSOR_036,Office_Floor_1,2024-09-01T21:20:00,20.93,41.85,1008.6,83,-80
READ_00000257,SENSOR_027,Office_Floor_1,2024-09-01T21:25:00,15.99,44.25,1015.59,48,-55
READ_00000258,SENSOR_011,Warehouse_2,2024-09-01T21:30:00,19.08,51.51,1024.66,55,-57
READ_00000259,SENSOR_001,Building_B,2024-09-01T21:35:00,23.06,44.0,1004.93,79,-89
READ_00000260,SENSOR_045,Warehouse_2,2024-09-01T21:40:00,27.2,47.39,1006.8,25,-85
READ_00000261,SENSOR_003,Building_B,2024-09-01T21:45:00,19.44,29.3,1020.58,62,-77
